id,crossreg_trn,n_crossreg,resolves,matches,non_match_source,non_match_rationale,has_summary_results,start_date,registration_date,completion_date,more_crossreg,comments
DRKS00003246,2011-004463-69,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004195,DRKS00004172,1,TRUE,FALSE,iv_registration,the trial is dividedin 4 groups with non matching trn and interlinker,FALSE,NA,NA,NA,NA,"publication repott, no link to summary result, confirm if true or not"
DRKS00004195,DRKS00004196,2,TRUE,FALSE,iv_registration,subproject,FALSE,NA,NA,NA,NA,NA
DRKS00004195,DRKS00004197,3,TRUE,FALSE,iv_registration,subproject,FALSE,NA,NA,NA,NA,NA
DRKS00004195,DRKS00004198,4,TRUE,FALSE,iv_registration,longitundinal observation study,FALSE,NA,NA,NA,NA,NA
DRKS00004858,2013-001599-40,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004871,2011-004393-28,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,look for details in primarz and secondarz outcome
DRKS00005219,2012-003882-17,1,TRUE,TRUE,NA,QUERY if match or not,NA,NA,NA,NA,NA,"everything matches, however in eu registry mention of nct trn and here corresponding trn is drks"
NCT00437307,NCT00170677,1,TRUE,FALSE,other,"difference in intervention(time vs combination of med,different phase,NCT00437307 is extension of NCT00170677, pmc aricle has NCT00170677 ref",NA,NA,NA,NA,NA,NA
NCT00530738,2005-001938-32,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
NCT00590447,2005-000743-29,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,ct indentifier in abstract of pmic studz indicates different ct number NCT01458548 and notifies this studz had modified its protocol and registered than as NCT00590447
NCT00590447,NCT01458548,2,TRUE,FALSE,other,Terminated (This study had an major amendment in 12/2006 introducing risk stratified sequential treatment (RSST). The modified protocol is registered with NCT00590447,NA,NA,NA,NA,NA,NA
NCT00772655,2006-005778-34,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"PEI-No.: 364/01
BFS-No.: 22461/2-2007-001",NA
NCT00841256,2006-005911-82,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
NCT00865982,2008-001849-26,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,"mention of trial prematurely ending in 2012 in eur, however status uncler on ctg"
NCT00942747,2009-011277-33,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TemPCNSL query
NCT00942747,NCT01653067,2,TRUE,FALSE,iv_registration,"different iv registration, dofferent intervention and number of participant",NA,NA,NA,NA,STORM-2011,NA
NCT01181401,2010-019347-18,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,"number of particpant planned was 90 in both but onlz ctg notes 94 trial were finallz included,217–220 (2016) article on pubmed has no mention of trn"
