id,crossreg_trn,n_crossreg,resolves,matches,non_match_source,non_match_rationale,has_summary_results,start_date,registration_date,completion_date,more_crossreg,comments
DRKS00003246,2011-004463-69,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004195,DRKS00004172,1,TRUE,FALSE,iv_registration,Subproject,NA,NA,NA,NA,NA,NA
DRKS00004195,DRKS00004196,2,TRUE,FALSE,iv_registration,Subproject,NA,NA,NA,NA,NA,NA
DRKS00004195,DRKS00004197,3,TRUE,FALSE,iv_registration,Subproject,NA,NA,NA,NA,NA,NA
DRKS00004195,DRKS00004198,4,TRUE,FALSE,iv_registration,Related longitudinal observational study,NA,NA,NA,NA,NA,NA
DRKS00004858,2013-001599-40,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004871,2011-004393-28,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,"leeches are a ""medicinal product"""
DRKS00005219,2012-003882-17,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
NCT00437307,NCT00170677,1,TRUE,FALSE,publication,"NCT00437307 (phase 3) compares Topotecan/Carboplatin vs. standard of care, whereas NCT00170677 (phase 2) compares Topotecan doses",NA,NA,NA,NA,NA,paper says it reports NCT00170677 but reports NCT00437307
NCT00530738,2005-001938-32,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
NCT00590447,2005-000743-29,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
NCT00590447,NCT01458548,2,TRUE,FALSE,publication,Preceeding trial,NA,NA,NA,NA,NA,NA
NCT00772655,2006-005778-34,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
NCT00841256,2006-005911-82,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,"clinicaltrials.gov includes ""Click here for information about this trial in the European Clinical Trials Register"""
NCT00865982,2008-001849-26,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
NCT00942747,2009-011277-33,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
NCT00942747,NCT01653067,2,TRUE,FALSE,publication,"Subsequent study: ""incorporation of temsirolimus into earlier treatment lines or combining it with other cytostatic drugs or rituximab (as is being done for systemic DLBCL in an ongoing study [NCT01653067]""",NA,NA,NA,NA,NA,NA
NCT01181401,2010-019347-18,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,"is first publication. both refer to same conference presentation about primary outcome, with this citation to the presentation abstract and the other citation to a conference summary in German (including a translated abstract)"
NCT01357681,2010-023941-31,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
NCT01440062,2011-002785-20,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,"publication includes a sentence on compliance: ""It was conducted strictly adhering to the study protocol and to applicable national laws (Arzneimittelgesetz, 14. Novelle, 2005), the Harmonized Tripartite Guideline for Good Clinical Practice (ICH GCP), and the principles of the Declaration of Helsinki in its applicable version."""
NCT01466465,2010-021775-80,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,Vigantol equals Cholecalciferol
NCT01471782,2010-024264-18,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
NCT01471782,NCT02101853,2,TRUE,FALSE,publication,"Subsequent trial: ""These data suggest further investigation of blinatumomab...Such studies are underway (Clinical trial information: NCT02101853, NCT02393859).""",NA,NA,NA,NA,NA,NA
