id,trn_eudract,has_valid_crossreg_eudract,registration_date_eudract,start_date_eudract,is_prospective_eudract,has_summary_results_eudract,summary_results_date_eudract,completion_date_eudract
NCT02169115,2011-005615-87,TRUE,2012-07-24,2012-11-06,TRUE,TRUE,2021-09-16,2015-03-25
NCT01580592,2011-003746-41,TRUE,2011-11-28,2012-01-12,TRUE,TRUE,2021-05-03,NA
NCT01966783,2012-003362-41,TRUE,2013-04-16,2013-07-24,TRUE,TRUE,2017-01-07,2015-07-29
DRKS00003246,2011-004463-69,TRUE,2012-08-03,2012-12-11,TRUE,TRUE,2020-12-12,NA
NCT01647880,2011-004787-30,TRUE,2012-07-13,2012-10-26,TRUE,TRUE,2021-08-08,NA
NCT01525667,2011-003934-16,TRUE,2012-02-14,2012-08-01,TRUE,FALSE,NA,NA
NCT02566369,2016-002860-15,TRUE,2016-10-20,2017-01-24,TRUE,TRUE,2019-04-06,2017-11-14
NCT01928823,2011-001398-19,TRUE,2011-05-30,2011-06-27,TRUE,TRUE,2022-05-14,2014-04-25
NCT01801280,2010-021275-92,TRUE,2010-10-01,2010-09-16,FALSE,TRUE,2022-03-08,2013-03-31
NCT02720952,2014-002265-30,TRUE,2014-12-23,2015-02-19,TRUE,TRUE,2016-12-22,2016-05-20
NCT01440062,2011-002785-20,TRUE,2011-08-11,2011-09-19,TRUE,FALSE,NA,NA
NCT00530738,2005-001938-32,TRUE,2007-04-23,2007-05-29,TRUE,TRUE,2021-03-07,2014-01-15
NCT00590447,2005-000743-29,TRUE,2009-06-09,2009-07-02,TRUE,FALSE,NA,NA
NCT00772655,2006-005778-34,TRUE,2007-01-05,2007-05-09,TRUE,FALSE,NA,NA
NCT00841256,2006-005911-82,TRUE,2006-12-21,2007-04-02,TRUE,TRUE,2017-06-28,2015-08-17
NCT00865982,2008-001849-26,TRUE,2008-07-29,2008-09-18,TRUE,TRUE,2021-06-13,2012-03-15
NCT00942747,2009-011277-33,TRUE,2009-05-26,2009-07-03,TRUE,FALSE,NA,NA
NCT01181401,2010-019347-18,TRUE,2010-04-20,2010-07-29,TRUE,TRUE,2022-03-21,NA
NCT01357681,2010-023941-31,TRUE,2011-03-17,2011-05-20,TRUE,TRUE,2022-01-11,2015-04-09
NCT01466465,2010-021775-80,TRUE,2010-09-14,2010-12-06,TRUE,TRUE,2021-09-16,2015-01-13
NCT01471782,2010-024264-18,TRUE,2011-08-01,2011-11-23,TRUE,TRUE,2016-12-08,2016-05-24
NCT01503372,2010-024379-15,TRUE,2011-07-20,2011-09-19,TRUE,TRUE,2022-04-28,2015-11-19
NCT01770080,2011-004777-89,TRUE,2011-12-05,2012-02-28,TRUE,FALSE,NA,NA
NCT01845142,2012-003217-33,TRUE,2012-08-13,2013-02-04,TRUE,TRUE,2021-08-08,2013-05-15
NCT02071615,2012-003882-17,TRUE,2013-04-08,2013-05-06,TRUE,TRUE,2022-04-03,2014-03-31
NCT02094287,2008-008474-31,TRUE,2009-06-26,2010-01-21,TRUE,FALSE,NA,NA
NCT02227641,2012-004240-30,TRUE,2013-12-02,2014-06-18,TRUE,TRUE,2020-07-03,2019-04-26
DRKS00004858,2013-001599-40,TRUE,2013-11-14,2014-01-03,TRUE,TRUE,2022-03-01,2018-10-19
DRKS00004871,2011-004393-28,TRUE,2011-12-09,2012-07-12,TRUE,FALSE,NA,NA
NCT01984788,2013-002319-82,TRUE,2013-07-23,2013-09-30,TRUE,TRUE,2021-03-11,2014-05-13
