nctid,version_number,total_versions,version_date,overall_status,study_start_date,primary_completion_date,primary_completion_date_type,enrolment,enrolment_type,min_age,max_age,sex,gender_based,accepts_healthy_volunteers,criteria,outcome_measures,contacts
NCT00530738,1,10,2007-09-14,Not yet recruiting,2007-09-01,NA,NA,66,Anticipated,18,80,All,NA,No,"[""Inclusion Criteria:\n\nSigned informed consent\nAge: 18-80 years\nMale and female patients\nPatients with a newly indicated need of long-term home parenteral nutrition (HPN) for at least 8 weeks\nPatients with an insufficient resorption capacity of the colon that may not be compensated by enteral nutrition\nmentally and physically able to adhere to study procedures.\nFemales agree to apply adequate contraception\n\nExclusion Criteria:\n\nParticipation in a clinical study with an investigational drug within one month prior to the start of study\nPatients with sepsis, severe sepsis and septic shock\nKnown or suspected drug abuse\nGeneral contra indications for infusion therapy such as acute pulmonary edema, hyperhydration and decompensated cardiac insufficiency\nPregnancy and lactation\nAutoimmune disease as e.g. HIV\nKnown hypersensitivity to egg-, soy-, and fish proteins or any of the ingredients\nHemodynamic failure of any origin (hemorrhagic shock, myocardial infarction, cardiac failure)\nAlterations of coagulation (thrombocytes <150.000 mm3), PT < 50%, PTT > 40 sec\nDiabetes mellitus with known ketoacidosis within 7 days before onset of study\nRenal insufficiency with serum creatinine > 1.4 mg/dL(>124 mmol/L)\nPatients with severe liver dysfunction with bilirubin >2.5 mg/dL (> 43 µmol/L)\nLipid disorders, in particular fasting serum triglycerides > 250 mg/dL (>2.86 mmol/L)\nnecrotizing pancreatitis""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Proof of non-inferiority of a HPN regimen containing Lipidem compared to a Lipofundin MCT containing regimen as indicated by the BMI\n[ Time Frame: 8 weeks ]""},{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Evaluation of beneficial effects of a long-term HPN-regimen with Lipidem on Quality of Life and body composition\n[ Time Frame: 8 weeks ]""}]","[{""label"":""Central Contact Person:"",""content"":""Paul Thul, MD\nTelephone: +49 30 4505 Ext. 22170\nEmail: Paul.Thul@charite.de""},{""label"":""Study Officials:"",""content"":""Paul Thul, MD\nPrincipal Investigator\nCharité, University Hospital Berlin""}]"
NCT00530738,2,10,2008-02-22,Recruiting,2007-09-01,2009-02-01,Anticipated,66,Anticipated,18,80,All,NA,No,"[""Inclusion Criteria:\n\nSigned informed consent\nAge: 18-80 years\nMale and female patients\nPatients with a newly indicated need of long-term home parenteral nutrition (HPN) for at least 8 weeks\nPatients with an insufficient resorption capacity of the colon that may not be compensated by enteral nutrition\nmentally and physically able to adhere to study procedures.\nFemales agree to apply adequate contraception\n\nExclusion Criteria:\n\nParticipation in a clinical study with an investigational drug within one month prior to the start of study\nPatients with sepsis, severe sepsis and septic shock\nKnown or suspected drug abuse\nGeneral contra indications for infusion therapy such as acute pulmonary edema, hyperhydration and decompensated cardiac insufficiency\nPregnancy and lactation\nAutoimmune disease as e.g. HIV\nKnown hypersensitivity to egg-, soy-, and fish proteins or any of the ingredients\nHemodynamic failure of any origin (hemorrhagic shock, myocardial infarction, cardiac failure)\nAlterations of coagulation (thrombocytes <150.000 mm3), PT < 50%, PTT > 40 sec\nDiabetes mellitus with known ketoacidosis within 7 days before onset of study\nRenal insufficiency with serum creatinine > 1.4 mg/dL(>124 mmol/L)\nPatients with severe liver dysfunction with bilirubin >2.5 mg/dL (> 43 µmol/L)\nLipid disorders, in particular fasting serum triglycerides > 250 mg/dL (>2.86 mmol/L)\nnecrotizing pancreatitis""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Proof of non-inferiority of a HPN regimen containing Lipidem compared to a Lipofundin MCT containing regimen as indicated by the BMI\n[ Time Frame: 8 weeks ]""},{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Evaluation of beneficial effects of a long-term HPN-regimen with Lipidem on Quality of Life and body composition\n[ Time Frame: 8 weeks ]""}]","[{""label"":""Central Contact Person:"",""content"":""Paul Thul, MD\nTelephone: +49 30 4505 Ext. 22170\nEmail: Paul.Thul@charite.de""},{""label"":""Study Officials:"",""content"":""Paul Thul, MD\nPrincipal Investigator\nCharité, University Hospital Berlin""}]"
NCT00530738,3,10,2008-04-22,Recruiting,2007-09-01,2009-02-01,Anticipated,66,Anticipated,18,80,All,NA,No,"[""Inclusion Criteria:\n\nSigned informed consent\nAge: 18-80 years\nMale and female patients\nPatients with a newly indicated need of long-term home parenteral nutrition (HPN) for at least 8 weeks\nPatients with an insufficient resorption capacity of the colon that may not be compensated by enteral nutrition\nmentally and physically able to adhere to study procedures.\nFemales agree to apply adequate contraception\n\nExclusion Criteria:\n\nParticipation in a clinical study with an investigational drug within one month prior to the start of study\nPatients with sepsis, severe sepsis and septic shock\nKnown or suspected drug abuse\nGeneral contra indications for infusion therapy such as acute pulmonary edema, hyperhydration and decompensated cardiac insufficiency\nPregnancy and lactation\nAutoimmune disease as e.g. HIV\nKnown hypersensitivity to egg-, soy-, and fish proteins or any of the ingredients\nHemodynamic failure of any origin (hemorrhagic shock, myocardial infarction, cardiac failure)\nAlterations of coagulation (thrombocytes <150.000 mm3), PT < 50%, PTT > 40 sec\nDiabetes mellitus with known ketoacidosis within 7 days before onset of study\nRenal insufficiency with serum creatinine > 1.4 mg/dL(>124 mmol/L)\nPatients with severe liver dysfunction with bilirubin >2.5 mg/dL (> 43 µmol/L)\nLipid disorders, in particular fasting serum triglycerides > 250 mg/dL (>2.86 mmol/L)\nnecrotizing pancreatitis""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Proof of non-inferiority of a HPN regimen containing Lipidem compared to a Lipofundin MCT containing regimen as indicated by the BMI\n[ Time Frame: 8 weeks ]""},{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Evaluation of beneficial effects of a long-term HPN-regimen with Lipidem on Quality of Life and body composition\n[ Time Frame: 8 weeks ]""}]","[{""label"":""Central Contact Person:"",""content"":""Paul Thul, MD\nTelephone: +49 30 4505 Ext. 22170\nEmail: Paul.Thul@charite.de""},{""label"":""Study Officials:"",""content"":""Paul Thul, MD\nPrincipal Investigator\nCharité, University Hospital Berlin""}]"
NCT00530738,4,10,2009-01-13,Recruiting,2007-09-01,2010-02-01,Anticipated,66,Anticipated,18,80,All,NA,No,"[""Inclusion Criteria:\n\nSigned informed consent\nAge: 18-80 years\nMale and female patients\nPatients with a newly indicated need of long-term home parenteral nutrition (HPN) for at least 8 weeks\nPatients with an insufficient resorption capacity of the colon that may not be compensated by enteral nutrition\nmentally and physically able to adhere to study procedures.\nFemales agree to apply adequate contraception\n\nExclusion Criteria:\n\nParticipation in a clinical study with an investigational drug within one month prior to the start of study\nPatients with sepsis, severe sepsis and septic shock\nKnown or suspected drug abuse\nGeneral contra indications for infusion therapy such as acute pulmonary edema, hyperhydration and decompensated cardiac insufficiency\nPregnancy and lactation\nAutoimmune disease as e.g. HIV\nKnown hypersensitivity to egg-, soy-, and fish proteins or any of the ingredients\nHemodynamic failure of any origin (hemorrhagic shock, myocardial infarction, cardiac failure)\nAlterations of coagulation (thrombocytes <150.000 mm3), PT < 50%, PTT > 40 sec\nDiabetes mellitus with known ketoacidosis within 7 days before onset of study\nRenal insufficiency with serum creatinine > 1.4 mg/dL(>124 mmol/L)\nPatients with severe liver dysfunction with bilirubin >2.5 mg/dL (> 43 µmol/L)\nLipid disorders, in particular fasting serum triglycerides > 250 mg/dL (>2.86 mmol/L)\nnecrotizing pancreatitis""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Proof of non-inferiority of a HPN regimen containing Lipidem compared to a Lipofundin MCT containing regimen as indicated by the BMI\n[ Time Frame: 8 weeks ]""},{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Evaluation of beneficial effects of a long-term HPN-regimen with Lipidem on Quality of Life and body composition\n[ Time Frame: 8 weeks ]""}]","[{""label"":""Central Contact Person:"",""content"":""Paul Thul, MD\nTelephone: +49 30 4505 Ext. 22170\nEmail: Paul.Thul@charite.de""},{""label"":""Study Officials:"",""content"":""Paul Thul, MD\nPrincipal Investigator\nCharité, University Hospital Berlin""}]"
NCT00530738,5,10,2009-07-08,Recruiting,2007-09-01,2010-02-01,Anticipated,66,Anticipated,18,80,All,NA,No,"[""Inclusion Criteria:\n\nSigned informed consent\nAge: 18-80 years\nMale and female patients\nPatients with a newly indicated need of long-term home parenteral nutrition (HPN) for at least 8 weeks\nPatients with an insufficient resorption capacity of the colon that may not be compensated by enteral nutrition\nmentally and physically able to adhere to study procedures.\nFemales agree to apply adequate contraception\n\nExclusion Criteria:\n\nParticipation in a clinical study with an investigational drug within one month prior to the start of study\nPatients with sepsis, severe sepsis and septic shock\nKnown or suspected drug abuse\nGeneral contra indications for infusion therapy such as acute pulmonary edema, hyperhydration and decompensated cardiac insufficiency\nPregnancy and lactation\nAutoimmune disease as e.g. HIV\nKnown hypersensitivity to egg-, soy-, and fish proteins or any of the ingredients\nHemodynamic failure of any origin (hemorrhagic shock, myocardial infarction, cardiac failure)\nAlterations of coagulation (thrombocytes <150.000 mm3), PT < 50%, PTT > 40 sec\nDiabetes mellitus with known ketoacidosis within 7 days before onset of study\nRenal insufficiency with serum creatinine > 1.4 mg/dL(>124 mmol/L)\nPatients with severe liver dysfunction with bilirubin >2.5 mg/dL (> 43 µmol/L)\nLipid disorders, in particular fasting serum triglycerides > 250 mg/dL (>2.86 mmol/L)\nnecrotizing pancreatitis""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Proof of non-inferiority of a HPN regimen containing Lipidem compared to a Lipofundin MCT containing regimen as indicated by the BMI\n[ Time Frame: 8 weeks ]""},{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Evaluation of beneficial effects of a long-term HPN-regimen with Lipidem on Quality of Life and body composition\n[ Time Frame: 8 weeks ]""}]","[{""label"":""Central Contact Person:"",""content"":""Paul Thul, MD\nTelephone: +49 30 4505 Ext. 22170\nEmail: Paul.Thul@charite.de""},{""label"":""Study Officials:"",""content"":""Paul Thul, MD\nPrincipal Investigator\nCharité, University Hospital Berlin""}]"
NCT00530738,6,10,2010-02-04,Recruiting,2007-09-01,2012-02-01,Anticipated,66,Anticipated,18,80,All,NA,No,"[""Inclusion Criteria:\n\nSigned informed consent\nAge: 18-80 years\nMale and female patients\nPatients with a newly indicated need of long-term home parenteral nutrition (HPN) for at least 8 weeks\nPatients with an insufficient resorption capacity of the colon that may not be compensated by enteral nutrition\nmentally and physically able to adhere to study procedures.\nFemales agree to apply adequate contraception\n\nExclusion Criteria:\n\nParticipation in a clinical study with an investigational drug within one month prior to the start of study\nPatients with sepsis, severe sepsis and septic shock\nKnown or suspected drug abuse\nGeneral contra indications for infusion therapy such as acute pulmonary edema, hyperhydration and decompensated cardiac insufficiency\nPregnancy and lactation\nAutoimmune disease as e.g. HIV\nKnown hypersensitivity to egg-, soy-, and fish proteins or any of the ingredients\nHemodynamic failure of any origin (hemorrhagic shock, myocardial infarction, cardiac failure)\nAlterations of coagulation (thrombocytes <150.000 mm3), PT < 50%, PTT > 40 sec\nDiabetes mellitus with known ketoacidosis within 7 days before onset of study\nRenal insufficiency with serum creatinine > 1.4 mg/dL(>124 mmol/L)\nPatients with severe liver dysfunction with bilirubin >2.5 mg/dL (> 43 µmol/L)\nLipid disorders, in particular fasting serum triglycerides > 250 mg/dL (>2.86 mmol/L)\nnecrotizing pancreatitis""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Proof of non-inferiority of a HPN regimen containing Lipidem compared to a Lipofundin MCT containing regimen as indicated by the BMI\n[ Time Frame: 8 weeks ]""},{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Evaluation of beneficial effects of a long-term HPN-regimen with Lipidem on Quality of Life and body composition\n[ Time Frame: 8 weeks ]""}]","[{""label"":""Central Contact Person:"",""content"":""Paul Thul, MD\nTelephone: +49 30 4505 Ext. 22170\nEmail: Paul.Thul@charite.de""},{""label"":""Study Officials:"",""content"":""Paul Thul, MD\nPrincipal Investigator\nCharité, University Hospital Berlin""}]"
NCT00530738,7,10,2011-06-08,Recruiting,2007-09-01,2012-02-01,Anticipated,66,Anticipated,18,80,All,NA,No,"[""Inclusion Criteria:\n\nSigned informed consent\nAge: 18-80 years\nMale and female patients\nPatients with a newly indicated need of long-term home parenteral nutrition (HPN) for at least 8 weeks\nPatients with an insufficient resorption capacity of the colon that may not be compensated by enteral nutrition\nmentally and physically able to adhere to study procedures.\nFemales agree to apply adequate contraception\n\nExclusion Criteria:\n\nParticipation in a clinical study with an investigational drug within one month prior to the start of study\nPatients with sepsis, severe sepsis and septic shock\nKnown or suspected drug abuse\nGeneral contra indications for infusion therapy such as acute pulmonary edema, hyperhydration and decompensated cardiac insufficiency\nPregnancy and lactation\nAutoimmune disease as e.g. HIV\nKnown hypersensitivity to egg-, soy-, and fish proteins or any of the ingredients\nHemodynamic failure of any origin (hemorrhagic shock, myocardial infarction, cardiac failure)\nAlterations of coagulation (thrombocytes <150.000 mm3), PT < 50%, PTT > 40 sec\nDiabetes mellitus with known ketoacidosis within 7 days before onset of study\nRenal insufficiency with serum creatinine > 1.4 mg/dL(>124 mmol/L)\nPatients with severe liver dysfunction with bilirubin >2.5 mg/dL (> 43 µmol/L)\nLipid disorders, in particular fasting serum triglycerides > 250 mg/dL (>2.86 mmol/L)\nnecrotizing pancreatitis""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Proof of non-inferiority of a HPN regimen containing Lipidem compared to a Lipofundin MCT containing regimen as indicated by the BMI\n[ Time Frame: 8 weeks ]""},{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Evaluation of beneficial effects of a long-term HPN-regimen with Lipidem on Quality of Life and body composition\n[ Time Frame: 8 weeks ]""}]","[{""label"":""Central Contact Person:"",""content"":""Paul Thul, MD\nTelephone: +49 30 4505 Ext. 22170\nEmail: Paul.Thul@charite.de""},{""label"":""Study Officials:"",""content"":""Paul Thul, MD\nPrincipal Investigator\nCharité, University Hospital Berlin""}]"
NCT00530738,8,10,2012-01-09,Recruiting,2007-09-01,2012-08-01,Anticipated,66,Anticipated,18,80,All,NA,No,"[""Inclusion Criteria:\n\nSigned informed consent\nAge: 18-80 years\nMale and female patients\nPatients with a newly indicated need of long-term home parenteral nutrition (HPN) for at least 8 weeks\nPatients with an insufficient resorption capacity of the colon that may not be compensated by enteral nutrition\nmentally and physically able to adhere to study procedures.\nFemales agree to apply adequate contraception\n\nExclusion Criteria:\n\nParticipation in a clinical study with an investigational drug within one month prior to the start of study\nPatients with sepsis, severe sepsis and septic shock\nKnown or suspected drug abuse\nGeneral contra indications for infusion therapy such as acute pulmonary edema, hyperhydration and decompensated cardiac insufficiency\nPregnancy and lactation\nAutoimmune disease as e.g. HIV\nKnown hypersensitivity to egg-, soy-, and fish proteins or any of the ingredients\nHemodynamic failure of any origin (hemorrhagic shock, myocardial infarction, cardiac failure)\nAlterations of coagulation (thrombocytes <150.000 mm3), PT < 50%, PTT > 40 sec\nDiabetes mellitus with known ketoacidosis within 7 days before onset of study\nRenal insufficiency with serum creatinine > 1.4 mg/dL(>124 mmol/L)\nPatients with severe liver dysfunction with bilirubin >2.5 mg/dL (> 43 µmol/L)\nLipid disorders, in particular fasting serum triglycerides > 250 mg/dL (>2.86 mmol/L)\nnecrotizing pancreatitis""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Proof of non-inferiority of a HPN regimen containing Lipidem compared to a Lipofundin MCT containing regimen as indicated by the BMI\n[ Time Frame: 8 weeks ]""},{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Evaluation of beneficial effects of a long-term HPN-regimen with Lipidem on Quality of Life and body composition\n[ Time Frame: 8 weeks ]""}]","[{""label"":""Central Contact Person:"",""content"":""Paul Thul, MD\nTelephone: +49 30 4505 Ext. 22170\nEmail: Paul.Thul@charite.de""},{""label"":""Study Officials:"",""content"":""Paul Thul, MD\nPrincipal Investigator\nCharité, University Hospital Berlin""}]"
NCT00530738,9,10,2013-09-09,Recruiting,2007-09-01,2013-12-01,Anticipated,66,Anticipated,18,80,All,NA,No,"[""Inclusion Criteria:\n\nSigned informed consent\nAge: 18-80 years\nMale and female patients\nPatients with a newly indicated need of long-term home parenteral nutrition (HPN) for at least 8 weeks\nPatients with an insufficient resorption capacity of the colon that may not be compensated by enteral nutrition\nmentally and physically able to adhere to study procedures.\nFemales agree to apply adequate contraception\n\nExclusion Criteria:\n\nParticipation in a clinical study with an investigational drug within one month prior to the start of study\nPatients with sepsis, severe sepsis and septic shock\nKnown or suspected drug abuse\nGeneral contra indications for infusion therapy such as acute pulmonary edema, hyperhydration and decompensated cardiac insufficiency\nPregnancy and lactation\nAutoimmune disease as e.g. HIV\nKnown hypersensitivity to egg-, soy-, and fish proteins or any of the ingredients\nHemodynamic failure of any origin (hemorrhagic shock, myocardial infarction, cardiac failure)\nAlterations of coagulation (thrombocytes <150.000 mm3), PT < 50%, PTT > 40 sec\nDiabetes mellitus with known ketoacidosis within 7 days before onset of study\nRenal insufficiency with serum creatinine > 1.4 mg/dL(>124 mmol/L)\nPatients with severe liver dysfunction with bilirubin >2.5 mg/dL (> 43 µmol/L)\nLipid disorders, in particular fasting serum triglycerides > 250 mg/dL (>2.86 mmol/L)\nnecrotizing pancreatitis""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Proof of non-inferiority of a HPN regimen containing Lipidem compared to a Lipofundin MCT containing regimen as indicated by the BMI\n[ Time Frame: 8 weeks ]""},{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Evaluation of beneficial effects of a long-term HPN-regimen with Lipidem on Quality of Life and body composition\n[ Time Frame: 8 weeks ]""}]","[{""label"":""Central Contact Person:"",""content"":""Paul Thul, MD\nTelephone: +49 30 4505 Ext. 22170\nEmail: Paul.Thul@charite.de""},{""label"":""Study Officials:"",""content"":""Paul Thul, MD\nPrincipal Investigator\nCharité, University Hospital Berlin""}]"
NCT00530738,10,10,2014-07-17,Completed,2007-09-01,2014-01-01,Actual,42,Actual,18,80,All,NA,No,"[""Inclusion Criteria:\n\nSigned informed consent\nAge: 18-80 years\nMale and female patients\nPatients with a newly indicated need of long-term home parenteral nutrition (HPN) for at least 8 weeks\nPatients with an insufficient resorption capacity of the colon that may not be compensated by enteral nutrition\nmentally and physically able to adhere to study procedures.\nFemales agree to apply adequate contraception\n\nExclusion Criteria:\n\nParticipation in a clinical study with an investigational drug within one month prior to the start of study\nPatients with sepsis, severe sepsis and septic shock\nKnown or suspected drug abuse\nGeneral contra indications for infusion therapy such as acute pulmonary edema, hyperhydration and decompensated cardiac insufficiency\nPregnancy and lactation\nAutoimmune disease as e.g. HIV\nKnown hypersensitivity to egg-, soy-, and fish proteins or any of the ingredients\nHemodynamic failure of any origin (hemorrhagic shock, myocardial infarction, cardiac failure)\nAlterations of coagulation (thrombocytes <150.000 mm3), PT < 50%, PTT > 40 sec\nDiabetes mellitus with known ketoacidosis within 7 days before onset of study\nRenal insufficiency with serum creatinine > 1.4 mg/dL(>124 mmol/L)\nPatients with severe liver dysfunction with bilirubin >2.5 mg/dL (> 43 µmol/L)\nLipid disorders, in particular fasting serum triglycerides > 250 mg/dL (>2.86 mmol/L)\nnecrotizing pancreatitis""]","[{""section"":""Primary Outcome Measures:"",""label"":""1."",""content"":""Proof of non-inferiority of a HPN regimen containing Lipidem compared to a Lipofundin MCT containing regimen as indicated by the BMI\n[ Time Frame: 8 weeks ]""},{""section"":""Secondary Outcome Measures:"",""label"":""1."",""content"":""Evaluation of beneficial effects of a long-term HPN-regimen with Lipidem on Quality of Life and body composition\n[ Time Frame: 8 weeks ]""}]","[{""label"":""Study Officials:"",""content"":""Paul Thul, MD\nPrincipal Investigator\nCharité, University Hospital Berlin""}]"
