drksid,version_number,total_versions,version_date,recruitment_status,start_date,closing_date,enrolment,enrolment_type,min_age,max_age,gender,inclusion_criteria,exclusion_criteria,primary_outcomes,secondary_outcomes,contacts
DRKS00003246,1,9,2013-05-31,Recruiting planned,2013-06-02,NA,60,Planned,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""Clinical signs of radiation retinopathy (cotton wool spots, hemorrhages, vascular ischemia)\n\nVisual impairment due to focal or diffuse radiation induced macula edema (ME) in the irradiated eye that is eligible for laser treatment\n\nAge ≥18 years\n\nBCVA less than 20/32""]","[""Exclusion Criteria"",""Concomitant conditions in the study eye which could, in the opinion of the investigator, prevent VA improvement, e.g. tumor recurrence, tumor growth underneath the macula\n\nEndoresection and / or previous vitrectomy\n\nPatients with proliferative retinopathies or macular edema due to reasons other than irradiation: e.g. diabetic retinopathy, vein occlusion, or Irvine-Gass syndrome\n\nTreatment with anti-angiogenic drugs or intravitreal corticosteroids or any other investigational drug within 3 months prior to randomisation\n\nPrior laser photocoagulation treatment within 3 months (focal / grid laser) or 6 months (panretinal) prior to study entry\n\nKnown hypersensitivity against local anaesthetics\n\nKnown hypersensitivity against iodine""]","[""Change from baseline in BCVA (Best Corrected Visual Acuity) over 6 months (area under curve / 6 months)""]","[""Change from baseline in macular thickness and the size of areas of macular and peripheral capillary drop out over 6 months (area under the curve / 6 months)\n\nChange from baseline in BCVA, macular thickness and the size of areas of macular and peripheral capillary drop out over 12 months (area under the curve / 12 months)\n\nProportion of patients with improvement of visual acuity after 6 and 12 months\n\nRate of vitreous hemorrhages""]","[{""label"":""Primary Sponsor"",""affiliation"":""Charité Campus Benjamin Franklin"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""[---]*"",""url"":""http://www.charite.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Charité University Medicine Berlin Department of Ophthalmology"",""telephone"":""030 450 554 202"",""fax"":""[---]*"",""email"":""Antonia.Joussen at charite.de"",""url"":""[---]*"",""name"":""Ms. Prof. Dr. med. Antonia Joussen""},{""label"":""Contact for Public Queries"",""affiliation"":""Charité University Medicine Berlin, Department of Ophthalmology"",""telephone"":""+49 30 450 654138"",""fax"":""[---]*"",""email"":""Sabrina.Thees at charite.de"",""url"":""[---]*"",""name"":""Ms. Sabrina Thees""}]"
DRKS00003246,2,9,2013-08-29,Recruiting planned,2013-09-03,NA,60,Planned,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""Clinical signs of radiation retinopathy (cotton wool spots, hemorrhages, vascular ischemia)\n\nVisual impairment due to focal or diffuse radiation induced macula edema (ME) in the irradiated eye that is eligible for laser treatment\n\nAge ≥18 years\n\nBCVA less than 20/32""]","[""Exclusion Criteria"",""Concomitant conditions in the study eye which could, in the opinion of the investigator, prevent VA improvement, e.g. tumor recurrence, tumor growth underneath the macula\n\nEndoresection and / or previous vitrectomy\n\nPatients with proliferative retinopathies or macular edema due to reasons other than irradiation: e.g. diabetic retinopathy, vein occlusion, or Irvine-Gass syndrome\n\nTreatment with anti-angiogenic drugs or intravitreal corticosteroids or any other investigational drug within 3 months prior to randomisation\n\nPrior laser photocoagulation treatment within 3 months (focal / grid laser) or 6 months (panretinal) prior to study entry\n\nKnown hypersensitivity against local anaesthetics\n\nKnown hypersensitivity against iodine""]","[""Change from baseline in BCVA (Best Corrected Visual Acuity) over 6 months (area under curve / 6 months)""]","[""Change from baseline in macular thickness and the size of areas of macular and peripheral capillary drop out over 6 months (area under the curve / 6 months)\n\nChange from baseline in BCVA, macular thickness and the size of areas of macular and peripheral capillary drop out over 12 months (area under the curve / 12 months)\n\nProportion of patients with improvement of visual acuity after 6 and 12 months\n\nRate of vitreous hemorrhages""]","[{""label"":""Primary Sponsor"",""affiliation"":""Charité Campus Benjamin Franklin"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""[---]*"",""url"":""http://www.charite.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Charité University Medicine Berlin Department of Ophthalmology"",""telephone"":""030 450 554 202"",""fax"":""[---]*"",""email"":""Antonia.Joussen at charite.de"",""url"":""[---]*"",""name"":""Ms. Prof. Dr. med. Antonia Joussen""},{""label"":""Contact for Public Queries"",""affiliation"":""Charité University Medicine Berlin, Department of Ophthalmology"",""telephone"":""+49 30 450 654138"",""fax"":""[---]*"",""email"":""Sabrina.Thees at charite.de"",""url"":""[---]*"",""name"":""Ms. Sabrina Thees""}]"
DRKS00003246,3,9,2013-10-10,Recruiting planned,2013-10-11,NA,60,Planned,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""Clinical signs of radiation retinopathy (cotton wool spots, hemorrhages, vascular ischemia)\n\nVisual impairment due to focal or diffuse radiation induced macula edema (ME) in the irradiated eye that is eligible for laser treatment\n\nAge ≥18 years\n\nBCVA less than 20/32""]","[""Exclusion Criteria"",""Concomitant conditions in the study eye which could, in the opinion of the investigator, prevent VA improvement, e.g. tumor recurrence, tumor growth underneath the macula\n\nEndoresection and / or previous vitrectomy\n\nPatients with proliferative retinopathies or macular edema due to reasons other than irradiation: e.g. diabetic retinopathy, vein occlusion, or Irvine-Gass syndrome\n\nTreatment with anti-angiogenic drugs or intravitreal corticosteroids or any other investigational drug within 3 months prior to randomisation\n\nPrior laser photocoagulation treatment within 3 months (focal / grid laser) or 6 months (panretinal) prior to study entry\n\nKnown hypersensitivity against local anaesthetics\n\nKnown hypersensitivity against iodine""]","[""Change from baseline in BCVA (Best Corrected Visual Acuity) over 6 months (area under curve / 6 months)""]","[""Change from baseline in macular thickness and the size of areas of macular and peripheral capillary drop out over 6 months (area under the curve / 6 months)\n\nChange from baseline in BCVA, macular thickness and the size of areas of macular and peripheral capillary drop out over 12 months (area under the curve / 12 months)\n\nProportion of patients with improvement of visual acuity after 6 and 12 months\n\nRate of vitreous hemorrhages""]","[{""label"":""Primary Sponsor"",""affiliation"":""Charité Campus Benjamin Franklin"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""[---]*"",""url"":""http://www.charite.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Charité University Medicine Berlin Department of Ophthalmology"",""telephone"":""030 450 554 202"",""fax"":""[---]*"",""email"":""Antonia.Joussen at charite.de"",""url"":""[---]*"",""name"":""Ms. Prof. Dr. med. Antonia Joussen""},{""label"":""Contact for Public Queries"",""affiliation"":""Charité University Medicine Berlin, Department of Ophthalmology"",""telephone"":""+49 30 450 654138"",""fax"":""[---]*"",""email"":""Sabrina.Thees at charite.de"",""url"":""[---]*"",""name"":""Ms. Sabrina Thees""}]"
DRKS00003246,4,9,2013-12-05,Recruiting ongoing,2013-10-23,NA,60,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""Clinical signs of radiation retinopathy (cotton wool spots, hemorrhages, vascular ischemia)\n\nVisual impairment due to focal or diffuse radiation induced macula edema (ME) in the irradiated eye that is eligible for laser treatment\n\nAge ≥18 years\n\nBCVA less than 20/32""]","[""Exclusion Criteria"",""Concomitant conditions in the study eye which could, in the opinion of the investigator, prevent VA improvement, e.g. tumor recurrence, tumor growth underneath the macula\n\nEndoresection and / or previous vitrectomy\n\nPatients with proliferative retinopathies or macular edema due to reasons other than irradiation: e.g. diabetic retinopathy, vein occlusion, or Irvine-Gass syndrome\n\nTreatment with anti-angiogenic drugs or intravitreal corticosteroids or any other investigational drug within 3 months prior to randomisation\n\nPrior laser photocoagulation treatment within 3 months (focal / grid laser) or 6 months (panretinal) prior to study entry\n\nKnown hypersensitivity against local anaesthetics\n\nKnown hypersensitivity against iodine""]","[""Change from baseline in BCVA (Best Corrected Visual Acuity) over 6 months (area under curve / 6 months)""]","[""Change from baseline in macular thickness and the size of areas of macular and peripheral capillary drop out over 6 months (area under the curve / 6 months)\n\nChange from baseline in BCVA, macular thickness and the size of areas of macular and peripheral capillary drop out over 12 months (area under the curve / 12 months)\n\nProportion of patients with improvement of visual acuity after 6 and 12 months\n\nRate of vitreous hemorrhages""]","[{""label"":""Primary Sponsor"",""affiliation"":""Charité Campus Benjamin Franklin"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""[---]*"",""url"":""http://www.charite.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Charité University Medicine Berlin Department of Ophthalmology"",""telephone"":""030 450 554 202"",""fax"":""[---]*"",""email"":""Antonia.Joussen at charite.de"",""url"":""[---]*"",""name"":""Ms. Prof. Dr. med. Antonia Joussen""},{""label"":""Contact for Public Queries"",""affiliation"":""Charité University Medicine Berlin, Department of Ophthalmology"",""telephone"":""+49 30 450 654138"",""fax"":""[---]*"",""email"":""Sabrina.Thees at charite.de"",""url"":""[---]*"",""name"":""Ms. Sabrina Thees""}]"
DRKS00003246,5,9,2014-05-21,Recruiting ongoing,2013-10-23,NA,60,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""Clinical signs of radiation retinopathy (cotton wool spots, hemorrhages, vascular ischemia)\n\nVisual impairment due to focal or diffuse radiation induced macula edema (ME) in the irradiated eye that is eligible for laser treatment\n\nAge ≥18 years\n\nBCVA less than 20/32""]","[""Exclusion Criteria"",""Concomitant conditions in the study eye which could, in the opinion of the investigator, prevent VA improvement, e.g. tumor recurrence, tumor growth underneath the macula\n\nEndoresection and / or previous vitrectomy\n\nPatients with proliferative retinopathies or macular edema due to reasons other than irradiation: e.g. diabetic retinopathy, vein occlusion, or Irvine-Gass syndrome\n\nTreatment with anti-angiogenic drugs or intravitreal corticosteroids or any other investigational drug within 3 months prior to randomisation\n\nPrior laser photocoagulation treatment within 3 months (focal / grid laser) or 6 months (panretinal) prior to study entry\n\nKnown hypersensitivity against local anaesthetics\n\nKnown hypersensitivity against iodine""]","[""Change from baseline in BCVA (Best Corrected Visual Acuity) over 6 months (area under curve / 6 months)""]","[""Change from baseline in macular thickness and the size of areas of macular and peripheral capillary drop out over 6 months (area under the curve / 6 months)\n\nChange from baseline in BCVA, macular thickness and the size of areas of macular and peripheral capillary drop out over 12 months (area under the curve / 12 months)\n\nProportion of patients with improvement of visual acuity after 6 and 12 months\n\nRate of vitreous hemorrhages""]","[{""label"":""Primary Sponsor"",""affiliation"":""Charité Campus Benjamin Franklin"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""[---]*"",""url"":""http://www.charite.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Charité University Medicine Berlin Department of Ophthalmology"",""telephone"":""030 450 554 202"",""fax"":""[---]*"",""email"":""Antonia.Joussen at charite.de"",""url"":""[---]*"",""name"":""Ms. Prof. Dr. med. Antonia Joussen""},{""label"":""Contact for Public Queries"",""affiliation"":""Charité University Medicine Berlin, Department of Ophthalmology"",""telephone"":""+49 30 450 654138"",""fax"":""[---]*"",""email"":""Sabrina.Thees at charite.de"",""url"":""[---]*"",""name"":""Ms. Sabrina Thees""}]"
DRKS00003246,6,9,2015-09-15,Recruiting ongoing,2013-10-23,NA,60,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""Clinical signs of radiation retinopathy (cotton wool spots, hemorrhages, vascular ischemia)\n\nVisual impairment due to focal or diffuse radiation induced macula edema (ME) in the irradiated eye that is eligible for laser treatment\n\nAge ≥18 years\n\nBCVA less than 20/32""]","[""Exclusion Criteria"",""Concomitant conditions in the study eye which could, in the opinion of the investigator, prevent VA improvement, e.g. tumor recurrence, tumor growth underneath the macula\n\nEndoresection and / or previous vitrectomy\n\nPatients with proliferative retinopathies or macular edema due to reasons other than irradiation: e.g. diabetic retinopathy, vein occlusion, or Irvine-Gass syndrome\n\nTreatment with anti-angiogenic drugs or intravitreal corticosteroids or any other investigational drug within 3 months prior to randomisation\n\nPrior laser photocoagulation treatment within 3 months (focal / grid laser) or 6 months (panretinal) prior to study entry\n\nKnown hypersensitivity against local anaesthetics\n\nKnown hypersensitivity against iodine""]","[""Change from baseline in BCVA (Best Corrected Visual Acuity) over 6 months (area under curve / 6 months)""]","[""Change from baseline in macular thickness and the size of areas of macular and peripheral capillary drop out over 6 months (area under the curve / 6 months)\n\nChange from baseline in BCVA, macular thickness and the size of areas of macular and peripheral capillary drop out over 12 months (area under the curve / 12 months)\n\nProportion of patients with improvement of visual acuity after 6 and 12 months\n\nRate of vitreous hemorrhages""]","[{""label"":""Primary Sponsor"",""affiliation"":""Charité Campus Benjamin Franklin"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""[---]*"",""url"":""http://www.charite.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Charité University Medicine Berlin Department of Ophthalmology"",""telephone"":""030 450 554 202"",""fax"":""[---]*"",""email"":""Antonia.Joussen at charite.de"",""url"":""[---]*"",""name"":""Ms. Prof. Dr. med. Antonia Joussen""},{""label"":""Contact for Public Queries"",""affiliation"":""Charité University Medicine Berlin, Department of Ophthalmology"",""telephone"":""+49 30 450 654138"",""fax"":""[---]*"",""email"":""Sabrina.Thees at charite.de"",""url"":""[---]*"",""name"":""Ms. Sabrina Thees""}]"
DRKS00003246,7,9,2016-06-06,"Recruiting complete, follow-up continuing",2013-10-23,NA,60,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""Clinical signs of radiation retinopathy (cotton wool spots, hemorrhages, vascular ischemia)\n\nVisual impairment due to focal or diffuse radiation induced macula edema (ME) in the irradiated eye that is eligible for laser treatment\n\nAge ≥18 years\n\nBCVA less than 20/32""]","[""Exclusion Criteria"",""Concomitant conditions in the study eye which could, in the opinion of the investigator, prevent VA improvement, e.g. tumor recurrence, tumor growth underneath the macula\n\nEndoresection and / or previous vitrectomy\n\nPatients with proliferative retinopathies or macular edema due to reasons other than irradiation: e.g. diabetic retinopathy, vein occlusion, or Irvine-Gass syndrome\n\nTreatment with anti-angiogenic drugs or intravitreal corticosteroids or any other investigational drug within 3 months prior to randomisation\n\nPrior laser photocoagulation treatment within 3 months (focal / grid laser) or 6 months (panretinal) prior to study entry\n\nKnown hypersensitivity against local anaesthetics\n\nKnown hypersensitivity against iodine""]","[""Change from baseline in BCVA (Best Corrected Visual Acuity) over 6 months (area under curve / 6 months)""]","[""Change from baseline in macular thickness and the size of areas of macular and peripheral capillary drop out over 6 months (area under the curve / 6 months)\n\nChange from baseline in BCVA, macular thickness and the size of areas of macular and peripheral capillary drop out over 12 months (area under the curve / 12 months)\n\nProportion of patients with improvement of visual acuity after 6 and 12 months\n\nRate of vitreous hemorrhages""]","[{""label"":""Primary Sponsor"",""affiliation"":""Charité Campus Benjamin Franklin"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""[---]*"",""url"":""http://www.charite.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Charité University Medicine Berlin Department of Ophthalmology"",""telephone"":""030 450 554 202"",""fax"":""[---]*"",""email"":""Antonia.Joussen at charite.de"",""url"":""[---]*"",""name"":""Ms. Prof. Dr. med. Antonia Joussen""},{""label"":""Contact for Public Queries"",""affiliation"":""Charité University Medicine Berlin, Department of Ophthalmology"",""telephone"":""+49 30 450 654138"",""fax"":""[---]*"",""email"":""Sabrina.Thees at charite.de"",""url"":""[---]*"",""name"":""Ms. Sabrina Thees""}]"
DRKS00003246,8,9,2017-02-15,Recruiting stopped after recruiting started ,2013-10-23,2016-12-02,60,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""Clinical signs of radiation retinopathy (cotton wool spots, hemorrhages, vascular ischemia)\n\nVisual impairment due to focal or diffuse radiation induced macula edema (ME) in the irradiated eye that is eligible for laser treatment\n\nAge ≥18 years\n\nBCVA less than 20/32""]","[""Exclusion Criteria"",""Concomitant conditions in the study eye which could, in the opinion of the investigator, prevent VA improvement, e.g. tumor recurrence, tumor growth underneath the macula\n\nEndoresection and / or previous vitrectomy\n\nPatients with proliferative retinopathies or macular edema due to reasons other than irradiation: e.g. diabetic retinopathy, vein occlusion, or Irvine-Gass syndrome\n\nTreatment with anti-angiogenic drugs or intravitreal corticosteroids or any other investigational drug within 3 months prior to randomisation\n\nPrior laser photocoagulation treatment within 3 months (focal / grid laser) or 6 months (panretinal) prior to study entry\n\nKnown hypersensitivity against local anaesthetics\n\nKnown hypersensitivity against iodine""]","[""Change from baseline in BCVA (Best Corrected Visual Acuity) over 6 months (area under curve / 6 months)""]","[""Change from baseline in macular thickness and the size of areas of macular and peripheral capillary drop out over 6 months (area under the curve / 6 months)\n\nChange from baseline in BCVA, macular thickness and the size of areas of macular and peripheral capillary drop out over 12 months (area under the curve / 12 months)\n\nProportion of patients with improvement of visual acuity after 6 and 12 months\n\nRate of vitreous hemorrhages""]","[{""label"":""Primary Sponsor"",""affiliation"":""Charité Campus Benjamin Franklin"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""[---]*"",""url"":""http://www.charite.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Charité University Medicine Berlin Department of Ophthalmology"",""telephone"":""030 450 554 202"",""fax"":""[---]*"",""email"":""Antonia.Joussen at charite.de"",""url"":""[---]*"",""name"":""Ms. Prof. Dr. med. Antonia Joussen""},{""label"":""Contact for Public Queries"",""affiliation"":""Charité University Medicine Berlin, Department of Ophthalmology"",""telephone"":""+49 30 450 654138"",""fax"":""[---]*"",""email"":""Sabrina.Thees at charite.de"",""url"":""[---]*"",""name"":""Ms. Sabrina Thees""}]"
DRKS00003246,9,9,2017-08-04,Recruiting stopped after recruiting started ,2013-10-23,2016-12-02,60,Actual,18 Years,no maximum age,"Both, male and female","[""Additional Inclusion Criteria"",""Clinical signs of radiation retinopathy (cotton wool spots, hemorrhages, vascular ischemia)\n\nVisual impairment due to focal or diffuse radiation induced macula edema (ME) in the irradiated eye that is eligible for laser treatment\n\nAge ≥18 years\n\nBCVA less than 20/32""]","[""Exclusion Criteria"",""Concomitant conditions in the study eye which could, in the opinion of the investigator, prevent VA improvement, e.g. tumor recurrence, tumor growth underneath the macula\n\nEndoresection and / or previous vitrectomy\n\nPatients with proliferative retinopathies or macular edema due to reasons other than irradiation: e.g. diabetic retinopathy, vein occlusion, or Irvine-Gass syndrome\n\nTreatment with anti-angiogenic drugs or intravitreal corticosteroids or any other investigational drug within 3 months prior to randomisation\n\nPrior laser photocoagulation treatment within 3 months (focal / grid laser) or 6 months (panretinal) prior to study entry\n\nKnown hypersensitivity against local anaesthetics\n\nKnown hypersensitivity against iodine""]","[""Change from baseline in BCVA (Best Corrected Visual Acuity) over 6 months (area under curve / 6 months)""]","[""Change from baseline in macular thickness and the size of areas of macular and peripheral capillary drop out over 6 months (area under the curve / 6 months)\n\nChange from baseline in BCVA, macular thickness and the size of areas of macular and peripheral capillary drop out over 12 months (area under the curve / 12 months)\n\nProportion of patients with improvement of visual acuity after 6 and 12 months\n\nRate of vitreous hemorrhages""]","[{""label"":""Primary Sponsor"",""affiliation"":""Charité Campus Benjamin Franklin"",""telephone"":""[---]*"",""fax"":""[---]*"",""email"":""[---]*"",""url"":""http://www.charite.de"",""name"":""""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Charité University Medicine Berlin Department of Ophthalmology"",""telephone"":""030 450 554 202"",""fax"":""[---]*"",""email"":""Antonia.Joussen at charite.de"",""url"":""[---]*"",""name"":""Ms. Prof. Dr. med. Antonia Joussen""},{""label"":""Contact for Public Queries"",""affiliation"":""Charité University Medicine Berlin, Department of Ophthalmology"",""telephone"":""+49 30 450 654138"",""fax"":""[---]*"",""email"":""Sabrina.Thees at charite.de"",""url"":""[---]*"",""name"":""Ms. Sabrina Thees""}]"
DRKS00003568,1,7,2012-02-22,Recruiting ongoing,2011-11-30,NA,560,Actual,18 Years,80 Years,"Both, male and female","[""Additional Inclusion Criteria"",""After ACS, Bypass-OP, PCI.""]","[""Exclusion Criteria"",""Lack capacity to consent, lack of language skills.""]","[""Change and continuity in the areas of physical activity, dietary habits, smoking, mental health, compliance to medication. Self-reported questionnaire at begin, end of rehabilitation and follow-up at 6 and 12 month after the end of rehabilitation.""]","[""Regulation of blood pressure, blood glucose, blood cholesteron. Collection of clinical parameters at begin and end of rehabilitation. Self-reported questionnaire at begin and end of rehabilitation as well as follow-up at 6 and 12 month after end of rehabilitation.""]","[{""label"":""Primary Sponsor"",""affiliation"":""Charité - Universitätsmedizin Berlin, Lehrstuhl für Versorgungssystemforschung"",""telephone"":""030-4505 17 125"",""fax"":""030-4505 17 932"",""email"":""karla.spyra at charite.de"",""url"":""http://www.reha-vqs.charite.de/"",""name"":""Ms. Dr. Karla Spyra""},{""label"":""Contact for Scientific Queries"",""affiliation"":""Charité - Universitätsmedizin Berlin, Lehrstuhl für Versorgungssystemforschung"",""telephone"":""030-4505 17109"",""fax"":""[---]*"",""email"":""sabine.stamm-balderjahn at charite.de"",""url"":""[---]*"",""name"":""Ms. Dr. med. Sabine Stamm-Balderjahn""},{""label"":""Contact for Public Queries"",""affiliation"":""Charité - Universitätsmedizin Berlin, Lehrstuhl für Versorgungssystemforschung"",""telephone"":""030-4505 17 109"",""fax"":""[---]*"",""email"":""sabine.stamm-balderjahn at charite.de"",""url"":""[---]*"",""name"":""Ms. Dr. med. Sabine Stamm-Balderjahn""}]"
